Operator Company	Exchange	Project Ownership	Project Name	Commodities	Resource	Stage	Project Country	Project State Or Province	Longitude	Latitude	Mineral District	Project Area Ha	Project Area Ha	Project Area Ha	Project Area Ha	Project Area Ha	Project Area Ha	Project Area Ha	Verified Project Area Ha	Article Link	Contact/CEO	Aggregate Deal Value ($)	Interest Acquired %	Acquisition Details	Option Period (y)	Aggregate deal value ($)	Sum of Cash Payments ($)	Exploration commitments ($)	Cash + Shares ($)	Calculated Cash + Share value column ($)	Share Value ($)	sum of Cash + Calculated Share value ($)	Calculated Share Value ($)	Number of Shares sold	Share Price ($)	NSR %	Article Date
Aurora Energy Metals Limited	ASX:WYX	Operator: Aurora Energy Metals Limited  Owner: Metalbelt Holdings Pty Ltd (100%) Optioner: Metalbelt Holdings Pty Ltd, Optionee: Aurora Energy Metals Limited	Harris Lake	U	107.3Mt @ 214ppm U3O8 for 50.6 Mlbs U3O8	Early Stage	Australia	Western Australia	123.5000002	-31.24057975		13496.08	8236931.902	8236931.902			Aurora Secures Option Over WA Uranium Exploration Projects	Project Acquisition	  -   	https://app.mininghub.com/article/79170	Peter Lester, Aurora Chairman		100%	Option to acquire 100% of Metalbelt Holdings (by Aurora)			73700	-		3088700	3015000	2173700	2100000	30000000	0.07		18/11/2024 15:31:54
New Frontier Minerals Limited	ASX:LRD	Operator: New Frontier Minerals Limited  Owner: Audax Holdings Pty Ltd (15%) Owner: New Frontier Minerals Limited (85%)	Harts Range	Nb,U	17.5% Nb	Early Stage	Australia	Northern Territory	135.0740475	-23.07785708		11032.34	20408294.97	20408294.97			CCZ to acquire high quality Niobium Uranium and REE Project	Project Acquisition	  11,000 	https://app.mininghub.com/article/75280	Ged Hall, NEW FRONTIER CHAIRMAN		85%	Acquisition of 85% of Harts Range Project (by CCZ via earn-in with Audax/Barfuss)			90450	-		607120	516670	2095440	2004990	154230000	0.013	2	20/10/2024 16:15:19
Tungsten Mining NL	ASX:AKA	Owner: Tungsten Mining NL (100%)	Hatches Creek	W		Early Stage	Australia	Northern Territory	135.1840223	-20.9113174		7440.99	79962915.525	79962915.525			GWR: GWR Completes Sale of Hatches Creek Tungsten Project	Project Acquisition	  -   	https://app.mininghub.com/article/82023	Gary Lyons, Tungsten Mining’s Chairman		80%	Acquisition of remaining 80% interest in Hatches Creek Project (by TGN from GWR, TGN now holds 100%)			-	-		#VALUE!	8600000	#VALUE!	7955000	107500000	0.074		16/12/2024 03:17:17
Golden Deeps Limited.	ASX:BCN	Operator: Golden Deeps Limited.  Owner: Golden Deeps Limited. (100%)	Havilah	Cu,Au	456Mt @ 0.83 g/t Au	Early Stage	Australia	New South Wales	149.5698488	-32.78602056		97295.38	2618379.933	2618379.933			GED Expands Footprint in Lachlan Fold Belt Cu-Au Province	Project Acquisition	  46,100 	https://app.mininghub.com/article/64859	Jonathon Dugdale, Chief Executive Officer		80%	Earn-in of 80% interest in holders of four ELs (Acros & Crown) (by Golden Deeps)			179263	210000		179263		#VALUE!	#VALUE!	-	0.018		11/07/2024 16:23:52
Stellar Resources Limited	TSX:NVO	Operator: Stellar Resources Limited  Owner: Stellar Resources Limited (100%)	Heemskirk	Sn	7.48Mt @ 1.04% Sn, containing 77.87kt of tin	Early Stage	Australia	Tasmania	145.3409908	-41.88476702		837.60	33276009.088	33276009.088			MOU Signed On Nearby Infrastructure at Heemskirk	Project Acquisition	  -   	https://app.mininghub.com/article/80658	Mr Simon Taylor, Stellar’s Managing Director			MOU for potential infrastructure use (no project acquisition)			-	-		#VALUE!		#VALUE!	#VALUE!	-	0.016		02/12/2024 16:37:46
Energy Fuels Inc.	ASX:E79	Operator: Energy Fuels Inc.  Owner: Trek Metals Limited (100%) Optioner: Trek Metals Limited, Optionee: Energy Fuels Inc.	Hendeka	Mn		Advanced Exploration	Australia	Western Australia	121.102017	-22.11586223		43478.75	26086143.1	805279117		http://www.energyfuels.com	Amendment to option agreement for divestment of Hendeka	Project Acquisition	  -   	https://app.mininghub.com/article/86698	Derek Marshall, CEO		100%	Option for AEFI to acquire 100% of Hendeka Project (via subsidiaries) (from Trek)			1675000	1400000	2981500	4355000	2680000	61595000	59920000	8000000	7.49		03/02/2025 16:40:52
Catalyst Metals Limited	ASX:CUF	Operator: Catalyst Metals Limited  Owner: Catalyst Metals Limited (100%) Optioner: Catalyst Metals Limited, Optionee: Kaiser Reef Limited	Henty	Au	10.6 Mt @ 3.0 g/t Au containing 1.0 Moz	Mining	Australia	Tasmania	145.5780133	-41.85381022		7992.44	48864480	1224928368.48			Transformational Acquisition of the Henty Gold Mine	Project Acquisition	  -   	https://app.mininghub.com/article/92180	James Champion de Crespigny, Catalyst’s Managing Director & CEO		100%	Sale of 100% of Henty Gold Mine to Kaiser Reef (by Catalyst)			10050000	-		19050000	9000000	#VALUE!	#VALUE!	-	0.185	0.5	23/03/2025 18:04:11
Loded Dog Prospecting Pty. Ltd.	ASX:FBM	Operator: Loded Dog Prospecting Pty. Ltd.  Owner: Loded Dog Prospecting Pty. Ltd. (100%)	Higginsville	Au		Advanced Exploration	Australia	Western Australia	121.6703849	-31.75869149		2720.96	6169650.968				Sale of Interest in Western Australian Higginsville JV	Project Acquisition	  -   	https://app.mininghub.com/article/82897	Clinton Dubieniecki, Chief Executive Officer		80%	Sale of 80% interest in Higginsville JV (by Orpheus to Loded Dog Prospecting)			150000	-		150000		#VALUE!	#VALUE!	-			23/12/2024 19:11:43
Horseshoe Metals Limited	ASX:CMO	Operator: Horseshoe Metals Limited  Owner: Horseshoe Metals Limited (100%) NSR: VOX Royalty Corp. (3%)	Horseshoe Lights	Cu, Au	138,050 tonnes Cu	Advanced Exploration	Australia	Western Australia	118.5250818	-25.30054445		24640.32	9380093.716	9380093.716			Horseshoe Lights Project Commercial Development	Project Acquisition	  34,000 	https://app.mininghub.com/article/84516	Kate Stoney, Non-Executive Director		100%	of granted tenement E52/4372 (to Horseshoe)			100000	-		100000		#VALUE!	#VALUE!	-	0.02	10	19/01/2025 17:10:25
Inca Minerals Limited	ASX:MHK	Operator: Inca Minerals Limited  Owner: Inca Minerals Limited (100%)	Hurricane	Au,Sb	311 Mt @ 0.31 g/t Au	Early Stage	Australia	Queensland	144.676092	-16.72014858		4917.31	5133612.665	5133612.665			Amendment to Announcement made on 5 February 2025	Project Acquisition	  29,965 	https://app.mininghub.com/article/86973	Trevor Benson, CEO		100%	Acquisition of 100% of Stunalara Metals Limited (by Inca Minerals)			-	-		#VALUE!	1800000	#VALUE!	1500000	300000000	0.005		05/02/2025 16:17:45
Western Yilgarn NL	ASX:ALY	Owner: Western Yilgarn NL (100%)	Ida Holmes Junction	Ni, Cu, Pt, Pd		Early Stage	Australia	Western Australia	120.2957307	-28.33624742		11168.77	4596369.955	4596369.955			Ida Holmes - New Cu-Ni-PGE and V-Ti-Fe Targets Identified	Project Acquisition	  1,200 	https://app.mininghub.com/article/67549	Mr Kastellorizos, Western Yilgarn Director		95%	Farm-in right to earn 95% in E36/1080 and E29/1167 (by Western Yilgarn from Bellpark/Mitre)			65000	60000		65000		92000	27000	1000000	0.027	1.5	05/08/2024 16:16:24
Lord Resources Limited	ASX:CLZ	Operator: Lord Resources Limited  Owner: Lord Resources Limited (100%)	Ilgarari	Cu	1.1Mt @ 1.9% Cu containing 20,941 tonnes of copper	Early Stage	Australia	Western Australia	119.5652779	-24.36388865		3746.17	1625946.273	1625946.273			Acquisition of High-Grade Ilgarari Copper Project in WA	Project Acquisition	  -   	https://app.mininghub.com/article/77864	Andrew Taylor, CEO			Earn-in up to 80% interest in Sulphide Rights of E52/2274 (by Lord Resources from Blackrock)			100000	1500000		200000	100000	#VALUE!	#VALUE!	-	0.022	1	05/11/2024 18:57:01
Aureka Limited	ASX:AUC	Operator: Aureka Limited  Owner: Aureka Limited (100%)	Irvine	Au	5.2 Mt @ 3.0 g/t Au containing 420 kOz	Advanced Exploration	Australia	Victoria	142.9177715	-37.60191787		129441.77	14340885.44	14340885.44			Strategic Land Purchase at Irvine Project	Project Acquisition	  97 	https://app.mininghub.com/article/92179	James Gurry, Managing Director		100%	Acquisition of 100% of 97 hectares of land (by Aureka)			2200000	-		2200000		#VALUE!	#VALUE!	-			23/03/2025 18:01:26
Beacon Minerals Limited	ASX:CMM	Owner: Beacon Minerals Limited (100%)	Jaurdi	Au		Mining	Australia	Western Australia	120.9959097	-30.74068743		11099.35	101432740.608	101432740.608			Beacon to Acquire Mt Dimer Tenements	Mergers & Acquisitions,Project Acquisition	  -   	https://app.mininghub.com/article/62273	Mr Brett Hodgins, Non‐Executive Director		100%	Acquisition of 100% of Mt Dimer tenements (by Beacon from Aurumin)			3000000	-		3500000	500000	3560000	560000	20000000	0.028	2	17/10/2023 16:23:48
Novo Resources Corp.	ASX:T88	Operator: Novo Resources Corp.  Owner: Techgen Metals Ltd (100%) Optioner: Techgen Metals Ltd, Optionee: Novo Resources Corp.	John Bull	Au	2.1 Mt @ 8.4 g/t Au (570 koz Au)	Early Stage	Australia	New South Wales	152.4331646	-29.50058684		3199.53	3649311.33	31916725		https://www.novoresources.com	John Bull Gold Update	Project Acquisition	  66,200 	https://app.mininghub.com/article/81975	Mike Spreadborough, Executive Co-Chairman and Acting Chief Executive Officer		70%	Option to acquire 80% in Micks Bull (EL9121) and 70% in John Bull (EL8389) (by Novo from TechGen); Option to acquire 70% in Tibooburra Project (by Novo from Manhattan)			1005000	800000		1340000	335000	1155000	150000	1500000	0.1		15/12/2024 16:11:49
E79 Gold Mines Limited	ASX:THB	Operator: E79 Gold Mines Limited  Owner: E79 Gold Mines Limited (100%) Optioner: E79 Gold Mines Limited, Optionee: Scorpion Minerals Limited	Jungar Flats	Au	647,000 tonnes @ 0.2 g/t Au containing 4,000 oz Au	Early Stage	Australia	Western Australia	117.9417942	-26.82764394		69783.86	10234123.84	4910791.654			Presentation - Murchison Gold Strategy	Project Acquisition	  70,000 	https://app.mininghub.com/article/87836	Michael Fotios, Chief Executive Officer			Farm-out to Scorpion Minerals, SCN to earn up to 70% of Jungar Flats Project (from E79 Gold)			100000	3000000		2132000	2032000	1827200	1727200	101600000	0.017		13/02/2025 17:01:56
Newcam Minerals Pty Ltd	ASX:CAV	Operator: Newcam Minerals Pty Ltd  Owner: Newcam Minerals Pty Ltd (100%)	JWD				Australia	Western Australia	120.0148405	-26.76628929		37244.76	8079449.19				Completion of JWD Mining Rights Sale	Project Acquisition	  -   	https://app.mininghub.com/article/77553			100%	Sale of 100% of Mining Rights at JWD to Newcam Minerals (by CuFe)			-	-		#VALUE!		#VALUE!	#VALUE!	-			03/11/2024 17:57:57
Future Battery Minerals Limited	ASX:CTN	Operator: Future Battery Minerals Limited  Owner: Future Battery Minerals Limited (100%)	Kangaroo Hills	Li		Advanced Exploration	Australia	Western Australia	121.0884268	-31.13906002		3350.63	10032088.92	10032088.92			FBM Expands Coolgardie & Kal North Gold Potential Identified	Project Acquisition	  -   	https://app.mininghub.com/article/84829	Nick Rathjen, FBM Managing Director and CEO		100%	of new tenement applications (Burbanks East P15/6924, P15/6925; Nepean South E15/2109) (by FBM)			-	-		#VALUE!		#VALUE!	#VALUE!	-	0.017	2	21/01/2025 16:22:54
Cosmo Metals Limited	ASX:LNR	Operator: Cosmo Metals Limited  Owner: Cosmo Metals Limited (100%)	Kanowna	Au		Advanced Exploration	Australia	Western Australia	121.5300527	-30.62174857		3194.30	3627029.835	3627029.835			New tenements expand Kanowna Gold Project	Project Acquisition	  3,200 	https://app.mininghub.com/article/68616	Peter Bird, Cosmo’s Chairman		100%	Acquisition of 100% of two tenements P26/4577 and P27/2461 (by Cosmo from Yandal)			-	-		#VALUE!	50000	#VALUE!	#VALUE!	-	0.017		18/08/2024 16:24:30
Metal Hawk Limited.	ASX:BCN	Operator: Metal Hawk Limited.  Owner: Metal Hawk Limited. (100%) Optioner: Metal Hawk Limited., Optionee: Accelerate Resources Limited	Kanowna East	Au,Ni		Early Stage	Australia	Western Australia	121.7085367	-30.55692272		10262.76	3935943.56	46110173.94			Addendum - New Gold Strategy with Acquisition	Project Acquisition	  7,624 	https://app.mininghub.com/article/85191	Luke Meter, Chief Executive Officer		70%	Acquisition of 70% interest in Kanowna East Gold Project (by Accelerate from Metal Hawk)			16750	-		1021750	1005000	9316750	9300000	20000000	0.465	2	23/01/2025 18:44:38
Alchemy Resources Limited	ASX:HMX	Operator: Alchemy Resources Limited  Owner: Alchemy Resources Limited (100%) Optioner: Alchemy Resources Limited, Optionee: Japan Organization for Metals and Energy Security	Karonie	Au,Sn,Nb,Ta,Li,Ga,Rb,Cs	51.6Mt @ 1.0% Li2O	Advanced Exploration	Australia	Western Australia	122.5831978	-30.84036831		156126.19	7068457.536	7068457.536			Execution of Li Partnership with Japanese Government JOGMEC	Project Acquisition	  24,800 	https://app.mininghub.com/article/73021	Mr James Wilson, Chief Executive Officer		51%	Farm-in to earn 51% of Roe Hills tenure (by JOGMEC from Alchemy)			6000000	600000		6000000		#VALUE!	#VALUE!	-	0.006	1	29/09/2024 16:31:43
Bain Global Resources Pty Ltd	ASX:MAT	Operator: Bain Global Resources Pty Ltd  Owner: Bain Global Resources Pty Ltd (100%)	Kat Gap	Au	8,412,212 Tonnes @ 1.45 g/t Au for 391,417 Oz Au	Development	Australia	Western Australia	119.8293045	-32.77493808		3145.12	1544025.557				Completion of Kat Gap sale	Project Acquisition	  -   	https://app.mininghub.com/article/92191	John Lester, Chair		100%	Sale of 100% of Kat Gap Project tenements (by Classic to Bain)			4690000	-		4690000		#VALUE!	#VALUE!	-			24/03/2025 00:20:38
Ausgold Limited	ASX:BNR	Operator: Ausgold Limited  Owner: Ausgold Limited (100%)	Katanning	Au	88.9 Mt @ 1.06 g/t Au, containing 3.04 MOz Au	Advanced Exploration	Australia	Western Australia	117.915409	-33.32350916		425955.49	165980882.775	165980882.775			Katanning Gold Project Mining Leases Granted	Project Acquisition	  1,026 	https://app.mininghub.com/article/74520	Dr Matt Greentree, Ausgold Managing Director		100%	Acquisition of 100% of two farming properties (1026 hectares) (by Ausgold)			10760000	-		10760000		#VALUE!	#VALUE!	-	0.62		13/10/2024 16:20:38
Capricorn Metals Ltd	ASX:BC8	Operator: Capricorn Metals Ltd  Owner: Capricorn Metals Ltd (100%)	Kings Find	Au		Early Stage	Australia	Western Australia	117.2659371	-29.26333332		5396.13	3356776989.09	3356776989.09			Acquisition of Kings Find Project	Project Acquisition	  5,400 	https://app.mininghub.com/article/90921	Mark Clark, Executive Chairman		100%	Acquisition of 100% of Kings Find Project tenement (by Capricorn from Serena)			100000	-	1600000	1600000	1500000	#VALUE!	#VALUE!	-	9.38	1	12/03/2025 16:33:45
Taiton Resources Limited	ASX:CTN	Operator: Taiton Resources Limited  Owner: Taiton Resources Limited (100%)	Kingsgate	Mo,Bi		Advanced Exploration	Australia	New South Wales	151.9889532	-29.74186149		29413.76	7073450.91	7073450.91			Land Acquisition and High Purity Quartz Samples Tested	Project Acquisition	  24 	https://app.mininghub.com/article/77998	Noel Ong, Executive Director		100%	Acquisition of 100% of 24.28 Ha of land (Hammond Land) (by Taiton)			-	-		#VALUE!		#VALUE!	#VALUE!	-	0.095		06/11/2024 16:51:18
Thunderbird Resources Limited	ASX:MGA	Operator: Thunderbird Resources Limited  Owner: Kooky Resources (100%) Optioner: Kooky Resources, Optionee: Thunderbird Resources Limited	Kookabookra	Sb,Au	16.8Mt @ 0.73g/t Au for 396,800 oz Au	Early Stage	Australia	New South Wales	152.0472242	-30.02266185		24857.08	3288972.708	3288972.708			Significant Increase in Landholding at Kookabrooka	Project Acquisition	  25,000 	https://app.mininghub.com/article/91725	George Bauk, Thunderbird Executive Chairman			This article is a webinar invite about a previous acquisition, no new % acquisition detailed. Refers to Hillside Antimony-Gold Project acquisition.			-	-		#VALUE!		#VALUE!	#VALUE!	-	0.015		18/03/2025 16:31:42
Carnavale Resources Limited	ASX:AWJ	Operator: Carnavale Resources Limited  Owner: Carnavale Resources Limited (80%) Owner: Unknown (20%)	Kookynie	Au		Advanced Exploration	Australia	Western Australia	121.3451318	-29.26767271		6481.21	16360873.576	16360873.576			CAV Divests Non-Core Leonora asset maintaining WA gold focus	Project Acquisition	  -   	https://app.mininghub.com/article/77938	Humphrey Hale, CEO		100%	Sale of 100% of license E40/394 (Leonora tenement) (by Carnavale to KoBold)			271350	-		271350		#VALUE!	#VALUE!	-	0.004	1	06/11/2024 01:55:28
Kobold Tjantjuru Pty Ltd.	ASX:EPM	Operator: Kobold Tjantjuru Pty Ltd.  Owner: Catalina Resources Ltd (100%) Optioner: Catalina Resources Ltd, Optionee: Kobold Tjantjuru Pty Ltd.	Kookynie West	Au		Early Stage	Australia	Western Australia	121.2986977	-29.31471962		7771.56	3032523.784				Sale Agreement with Kobold for Kookynie West	Project Acquisition	  -   	https://app.mininghub.com/article/77508	Sanjay Loyalka, Executive Chairman and Company Secretary		100%	Divestment of 100% of Kookynie West Project (E40/378) (by Catalina to KoBold)			271350	-		271350		#VALUE!	#VALUE!	-		1	03/11/2024 16:14:02
Lanthanein Resources Ltd	ASX:AWJ	Operator: Lanthanein Resources Ltd  Owner: Gondwana Resources Ltd (100%) Optioner: Gondwana Resources Ltd, Optionee: Lanthanein Resources Ltd	Lady Grey	Li		Advanced Exploration	Australia	Western Australia	119.7091334	-32.16108541		5547.15	4887272.256	4887272.256			Lady Grey Farm-in Agreement Extension	Project Acquisition	  -   	https://app.mininghub.com/article/81367	David Frances			Farm-in right to earn up to 70% of EL77/2143 (Lady Grey Project) (by Lanthanein from Gondwana)			3700000	7000000		3700000		79533333.1	75833333.1	433333332	0.175		09/12/2024 15:22:27
Beacon Minerals Limited	ASX:LPM	Operator: Beacon Minerals Limited  Owner: Geoda Pty Ltd. (100%) Optioner: Geoda Pty Ltd., Optionee: Beacon Minerals Limited	Lady Ida	Au		Advanced Exploration	Australia	Western Australia	120.7019164	-30.54123971		3315.42	101432740.608	101432740.608			Lady Ida Completes and Appointment of New Director	Management Changes,Project Acquisition	  -   	https://app.mininghub.com/article/70207	Mr Brett Hodgins, Non‐Executive Director		50%	Earn-in up to 50% beneficial ownership of Lady Ida Project (by Beacon Mining from Lamerton/Geoda), then transfer of 100% legal and beneficial ownership to Beacon Minerals.			-	-		#VALUE!		#VALUE!	#VALUE!	-	0.028		03/09/2024 17:15:03
Hammer Metals Limited	ASX:DRE	Operator: Hammer Metals Limited  Owner: Hammer Metals Limited (100%)	Lady Jenny	Cu,Au	0.706Mt @ 22.5g/t Au	Advanced Exploration	Australia	Queensland	139.9725895	-20.92033583		30.34	24857243.6	24857243.6			Hammer Acquires Option on Lady Jenny Mining Lease	Project Acquisition	  26 	https://app.mininghub.com/article/73488	Daniel Thomas, Managing Director		80%	Option to purchase 80% interest in Lady Jenny Mining Leases (by Hammer from Corella)			402000	-	100500	452000	50000	#VALUE!	#VALUE!	-	0.035	1	01/10/2024 16:19:57
Matsa Resources Limited	ASX:KM1	Operator: Matsa Resources Limited  Owner: Matsa Resources Limited (100%) Optioner: Matsa Resources Limited, Optionee: AngloGold Ashanti Limited	Lake Carey	Au	11,861 '000t @ 2.5 g/t Au containing 949 '000 oz	Advanced Exploration	Australia	Western Australia	122.4946591	-29.23668342		58081.94	38108353.296	38108353.296			Matsa and AngloGold Execute $101M Deal for Lake Carey	Project Acquisition	  -   	https://app.mininghub.com/article/89357	Paul Poli, Executive Chairman			No new acquisition; extension of Confidentiality Agreement with AngloGold Ashanti for potential transaction on Lake Carey Gold Project.			67670000	-		67670000		#VALUE!	#VALUE!	-	0.067		26/02/2025 16:53:20
Bulletin Resources Limited	ASX:LM1	Operator: Bulletin Resources Limited  Owner: Bulletin Resources Limited (100%)	Lake Rebecca	Au	1.4 Moz Au	Advanced Exploration	Australia	Western Australia	122.8111133	-30.44860412		116105.98	14680666.15	14680666.15			New Acquisition Expands Lake Rebecca Gold Project	Project Acquisition	  50,900 	https://app.mininghub.com/article/90162	Paul Poli, Chairman			No new acquisition; receipt of final payment from 2021 partial sale of Lake Rebecca tenure to Ramelius.			4700000	-		4700000		#VALUE!	#VALUE!	-	0.062	2	05/03/2025 16:10:50
Black Cat Syndicate Limited	ASX:AUH	Operator: Black Cat Syndicate Limited  Owner: Black Cat Syndicate Limited (100%)	Lakewood Mill	Au	26,789 kt @ 2.9 g/t Au, 2,488 koz Au	Mining	Australia	Western Australia	121.5404829	-30.80106446			568817655.45	568817655.45			WGX: Black Cat Acquires Lakewood Mill for $85M	Project Acquisition	  -   	https://app.mininghub.com/article/89059	Gareth Solly, Black Cat’s Managing Director		100%	Acquisition of 100% of Lakewood processing facility (by Black Cat from Westgold)			70000000	-	85000000	85000000	15000000	#VALUE!	#VALUE!	-	0.82		24/02/2025 16:05:37
Catalina Resources Ltd	ASX:BTR	Owner: Catalina Resources Ltd (100%)	Laverton	Au	27.7 Mt @ 1.33g/t Au for 1.19 Mozs Au	Advanced Exploration	Australia	Western Australia	122.5191626	-28.80426027		7387.84	3032523.784	3032523.784			Catalina extends presence at Laverton	Project Acquisition	  -   	https://app.mininghub.com/article/82102	Sanjay Loyalka, Executive Chairman		100%	of granted tenement E38/3847 (to Catalina)			-	-		#VALUE!		#VALUE!	#VALUE!	-	0.002		16/12/2024 15:13:50
MetalsGrove Mining Ltd	ASX:LDR	Operator: MetalsGrove Mining Ltd  Owner: MetalsGrove Mining Ltd (100%)	Leake	Au,Cu		Early Stage	Australia	Western Australia	119.7981884	-32.42644951		6663.59	5271000	5271000			New Tenement Grant - Leake Prospect	Project Acquisition	  6,670 	https://app.mininghub.com/article/70618	Mr Lijun Yang, Managing Director and CEO		100%	of exploration tenement E77/3152 (Leake Prospect) (to MetalsGrove)			-	-		#VALUE!		#VALUE!	#VALUE!	-	0.081		08/09/2024 17:02:45
Top Global Mining Pty Ltd	ASX:VMS	Operator: Top Global Mining Pty Ltd  Owner: Top Global Mining Pty Ltd (100%) Optioner: Top Global Mining Pty Ltd, Optionee: Auric Mining Limited	Lindsay's	Au	38,229t @ 1.93g/t 	Advanced Exploration	Australia	Western Australia	121.7010477	-30.31878524		3731.26	33514508.475				Conditional Purchase of Lindsay's Gold Project	Project Acquisition	  3,300 	https://app.mininghub.com/article/89340	Mark English, Managing Director		100%	Purchase of 100% of Lindsay’s Project (by Auric Mining)			2000000	-	4000000	4000000	2000000	#VALUE!	#VALUE!	-		3.5	26/02/2025 15:02:30
Eclipse Metals Limited.	TORC:CA	Operator: Eclipse Metals Limited.  Owner: Eclipse Metals Limited. (100%) Optioner: Eclipse Metals Limited., Optionee: Boss Energy Ltd	Liverpool	U		Early Stage	Australia	Northern Territory	133.7170619	-12.60917636		146491.28	11439276.116	11439276.116			BOE: Boss takes option over uranium exploration in NT	Joint Venture,Project Acquisition	  122,900 	https://app.mininghub.com/article/90392	Carl Popal, Executive Chairman			Option to earn up to 80% (potentially 90%) of Liverpool Uranium Project (by Boss Energy from Eclipse Metals)			50000000	250000		50000000		#VALUE!	#VALUE!	-	0.006		09/03/2025 16:49:20
Auric Mining Limited	ASX:CAE	Operator: Auric Mining Limited  Owner: Auric Mining Limited (100%)	Loded Dog	Au		Advanced Exploration	Australia	Western Australia	121.708825	-31.7899191		11272.71	33514508.475	33514508.475			Auric Purchases Tenements Near Higginsville Gold Deposits	Project Acquisition	  11,300 	https://app.mininghub.com/article/89024	Mr John Utley, Technical Director		100%	Acquisition of 100% of 8 Loded Dog tenements (by Auric Mining)			725000	-		725000		#VALUE!	#VALUE!	-	0.2	1.5	24/02/2025 15:02:27
Lithium Plus Minerals Ltd.	ASX:QML	Operator: Lithium Plus Minerals Ltd.  Owner: Lithium Plus Minerals Ltd. (100%)	MacDonnell Ranges	REE,U	418 Mt @ 289 ppm REE	Early Stage	Australia	Northern Territory	132.8595074	-23.40203492		180813.13	7970400	7970400			Completion of Australian Uranium & Rare Earth Transaction	Project Acquisition	  200,000 	https://app.mininghub.com/article/68257	Dr Bin Guo, Executive Chairman		50%	Completion of acquisition of Uranium/REE projects (MacDonnell Ranges & Fox Hill) by Moonlight Resources (LPM diluted to 50% of Moonlight Resources)			67000	-		297931	230931	2444790	2377790	34967500	0.068		12/08/2024 20:53:52
Dreadnought Resources Ltd	ASX:ZMI	Operator: Dreadnought Resources Ltd  Owner: Dreadnought Resources Ltd (100%)	Mangaroon	Nb,,REE,Au,Ni,Cu	56,600 Tonnes @ 12.8 g/t Au containing 23,400 Au Oz	Advanced Exploration	Australia	Western Australia	115.7478584	-23.83547742		464921.24	51368166.663	51368166.663			Further Gold Ground Consolidated at Mangaroon	Project Acquisition	  3,000 	https://app.mininghub.com/article/92262	Dean Tuck, Dreadnought’s Managing Director		100%	Acquisition of 100% of tenements M09/63, E09/2195, L09/27 (by Dreadnought)			200000	-		400000	200000	#VALUE!	#VALUE!	-	0.012	1	24/03/2025 16:18:57
Kali Metals Limited	ASX:AAR	Operator: Kali Metals Limited  Owner: Kali Metals Limited (100%)	Marble Bar	Li,Au	18Mt @ 1.00% Li₂O	Early Stage	Australia	Western Australia	119.8941213	-21.22272647		6727.05	6823341.48	6823341.48			Kali Expands Pilbara Gold Tenure	Project Acquisition	  1,900 	https://app.mininghub.com/article/91627	Paul Adams, Managing Director of Kali Metals		100%	Acquisition of 100% of Florance Resources Pty Ltd (holding E45/6429, E45/6430) (by Kali Metals)			30000	-	230000	230000	200000	#VALUE!	#VALUE!	-	0.09		17/03/2025 17:40:51
Leeuwin Metals Ltd	TSXV:BZ	Operator: Leeuwin Metals Ltd  Owner: Leeuwin Metals Ltd (100%) Optioner: Ramelius Resources Limited, Optionee: Leeuwin Metals Ltd	Marda	Au	2.3 Mt @ 1.9 g/t Au (143 koz)	Mining	Australia	Western Australia	119.3174522	-29.96571287		59820.55	8851470.18	8851470.18			LM1 TO ACQUIRE MARDA GOLD PROJECT FROM RAMELIUS RESOURCES	Project Acquisition	  50,000 	https://app.mininghub.com/article/82563	Christopher Piggott, Executive Chairman		100%	Completion of 100% acquisition of Marda Gold Project (by Leeuwin from Ramelius)			1500000	-		5000000	3500000	#VALUE!	#VALUE!	-	0.125	1.5	19/12/2024 15:25:54
Austchina Holdings Limited	ASX:HTM	Operator: Austchina Holdings Limited  Owner: Austchina Holdings Limited (100%)	Mersey	Zn,Pb,Cu,Au		Early Stage	Australia	Tasmania	146.2140693	-41.46157085		20229.32	2750383.635	2750383.635			AUH completes Due Diligence and proceeds to acquisition	Project Acquisition	  -   	https://app.mininghub.com/article/89072	Andrew Fogg, Chief Executive Officer		100%	Acquisition of 100% of Penwortham Exploration Pty Ltd (by AustChina)			38000	-		368000	330000	368000	330000	330000000	0.001		24/02/2025 17:01:27
Brightstar Resources Limited	ASX:CMM	Operator: Brightstar Resources Limited  Owner: Brightstar Resources Limited (100%)	Montague East	Au	38,319 Kt @ 1.6 g/t Au for 1,959 Koz	Advanced Exploration	Australia	Western Australia	119.4514821	-27.35384806		94902.91	11446968.26	205310980.26			GML Sells Gold Rights at Montague East to BTR for $14M	Project Acquisition	  -   	https://app.mininghub.com/article/67250	Alex Rovira, Brightstar’s Managing Director			Sale of gold rights for Eastern Montague Gold Project to Brightstar (by Gateway, Gateway retains other mineral rights and Montague West)			5000000	-	14000000	14000000	9000000	296666666.9	291666666.9	466666667	0.625		31/07/2024 17:57:35
